University,"Programming Languages (Python, R, Java, JavaScript, C++)","Statistical Analysis (R/RStudio, Minitab, SAS/JMP, SPSS, STATA)",Media editing (Adobe Creative Cloud/Garageband/iMovie/Final Cut/Audacity/Camtasia),Mapping & Geospatial (ArcGIS/QGIS),MATLAB,"Markup Languages (XML, HTML, TeX, LaTeX)","Digital content management program (Omeka, ContentDM, CollectiveAccess)",MS Office,3D printing,Hardware,Raspberry Pie,Adobe products,Zoom,Camera,Scanner,Arduino,Database,"Data Visualization (Tableau, Power BI)","Text Analysis (Voyant, Constellate, CADRE)","Digital Humanities Services (HathiTrust, Gale Digital Scholars Lab)","Cloud Computing (AZURE, AWS, GCP)","Reference Management Software (EndNote, Bibtex, Zotero, RefWorks, NoodleTools)",AR/VR
Western Governors University,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Southern New Hampshire University,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Grand Canyon University,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X
Liberty University,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
The Pennsylvania State University,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,X
University of Phoenix—Arizona,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Arizona State University Campus Immersion,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X
Dallas College,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
University of Central Florida,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
Texas A&M University—College Station,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
Lone Star College System,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Ivy Tech Community College,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
Ohio State University—Main Campus,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
Florida International University,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
University of Maryland Global Campus,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
